,Country,Vaccine_Manufacturer,Date,Total_Vaccinations,ancestral_alpha_severe,ancestral_alpha_infection,beta_gamma_delta_severe,beta_gamma_delta_infection,omicron_severe,omicron_infection,year,Vaccine_Wise_Max_Total_Vaccination,Total_Vaccination_Country_Wise,Percentage_of_Vaccine,Vaccine_Manufacturers_,efficacy_ancestral_alpha_severe_,efficacy_ancestral_alpha_infection_,efficacy_beta_gamma_delta_severe_,efficacy_beta_gamma_delta_infection_,efficacy_omicron_severe_,efficacy_omicron_infection_,breakThrough_ancestral_alpha_severe_,breakThrough_ancestral_alpha_infection_,breakThrough_beta_gamma_delta_severe_,breakThrough_beta_gamma_delta_infection_,breakThrough_omicron_severe_,breakThrough_omicron_infection_,pop_20,pop_21,pop_22
150,Poland,Oxford/AstraZeneca,2021-01-01,0,0,0,0,0,0,0,2021,5292302,52947094.0,0.09995453197110307,Oxford/AstraZeneca,9.4,6.3,9.4,6.9,7.1,3.6,90.6,93.7,90.6,93.1,92.9,96.4,38428366,38307726,39857145
151,Poland,Pfizer/BioNTech,2021-01-01,2216,2105,1905,2105,1861,1595,975,2021,41133924,52947094.0,0.7768872829923394,Pfizer/BioNTech,73.8,66.81,73.8,65.26,55.94,34.18,26.2,33.19,26.2,34.74,44.06,65.82,38428366,38307726,39857145
152,Portugal,Covaxin,2021-01-08,1,0,0,0,0,0,0,2021,87,23803134.0,3.6549808945326275e-06,Covaxin,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,10298192,10290103,10270865
153,Portugal,Johnson&Johnson,2021-01-08,23,19,16,17,14,13,7,2021,1137062,23803134.0,0.047769423975851245,Johnson&Johnson,4.11,3.44,3.63,3.06,2.72,1.58,95.89,96.56,96.37,96.94,97.28,98.42,10298192,10290103,10270865
154,Portugal,Moderna,2021-01-01,7,6,6,6,6,5,3,2021,3693702,23803134.0,0.15517712919651672,Moderna,15.05,14.28,15.05,14.12,11.33,7.45,84.95,85.72,84.95,85.88,88.67,92.55,10298192,10290103,10270865
155,Portugal,Novavax,2021-01-22,1,0,0,0,0,0,0,2021,147,23803134.0,6.175657373520647e-06,Novavax,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,10298192,10290103,10270865
156,Portugal,Oxford/AstraZeneca,2021-01-08,60,56,37,56,41,42,21,2021,2267362,23803134.0,0.09525476771252055,Oxford/AstraZeneca,8.95,6.0,8.95,6.57,6.76,3.43,91.05,94.0,91.05,93.43,93.24,96.57,10298192,10290103,10270865
157,Portugal,Pfizer/BioNTech,2021-01-01,5161,4902,4438,4902,4335,3715,2270,2021,16694611,23803134.0,0.7013618878925775,Pfizer/BioNTech,66.63,60.32,66.63,58.91,50.5,30.86,33.37,39.68,33.37,41.09,49.5,69.14,10298192,10290103,10270865
158,Portugal,Sinopharm/Beijing,2021-01-01,4,2,2,2,2,2,1,2021,3652,23803134.0,0.00015342517502107075,Sinopharm/Beijing,0.01,0.01,0.01,0.01,0.01,0.01,99.99,99.99,99.99,99.99,99.99,99.99,10298192,10290103,10270865
159,Portugal,Sinovac,2021-01-01,2,1,0,0,0,0,0,2021,6511,23803134.0,0.00027353540924484986,Sinovac,0.01,0.01,0.01,0.01,0.01,0.01,99.99,99.99,99.99,99.99,99.99,99.99,10298192,10290103,10270865
160,Romania,Johnson&Johnson,2021-05-04,45,38,32,34,28,25,14,2021,2054653,16827486.0,0.12210100783919832,Johnson&Johnson,10.5,8.79,9.28,7.81,6.96,4.03,89.5,91.21,90.72,92.19,93.04,95.97,19442038,19328560,19659267
161,Romania,Moderna,2021-02-04,6443,6249,5927,6249,5863,4703,3092,2021,1008835,16827486.0,0.059951617252868315,Moderna,5.82,5.52,5.82,5.46,4.38,2.88,94.18,94.48,94.18,94.54,95.62,97.12,19442038,19328560,19659267
162,Romania,Oxford/AstraZeneca,2021-02-15,6812,6403,4291,6403,4700,4836,2452,2021,849559,16827486.0,0.05048638875706092,Oxford/AstraZeneca,4.75,3.18,4.75,3.48,3.58,1.82,95.25,96.82,95.25,96.52,96.42,98.18,19442038,19328560,19659267
163,Romania,Pfizer/BioNTech,2020-12-27,965,916,829,916,810,694,424,2020,12914439,16827486.0,0.7674609861508724,Pfizer/BioNTech,72.91,66.0,72.91,64.47,55.26,33.77,27.09,34.0,27.09,35.53,44.74,66.23,19442038,19328560,19659267
164,Slovakia,Johnson&Johnson,2021-03-05,2,1,1,1,1,1,0,2021,186260,6896429.0,0.027008180610573966,Johnson&Johnson,2.32,1.94,2.05,1.73,1.54,0.89,97.68,98.06,97.95,98.27,98.46,99.11,5456681,5447622,5643453
165,Slovakia,Moderna,2021-01-08,3,2,2,2,2,2,1,2021,678992,6896429.0,0.09845559201725995,Moderna,9.55,9.06,9.55,8.96,7.19,4.73,90.45,90.94,90.45,91.04,92.81,95.27,5456681,5447622,5643453
166,Slovakia,Novavax,2022-03-04,0,0,0,0,0,0,0,2022,3658,6896429.0,0.0005304194388139137,Novavax,0.05,0.04,0.05,0.04,0.03,0.02,99.95,99.96,99.95,99.96,99.97,99.98,5456681,5447622,5643453
167,Slovakia,Oxford/AstraZeneca,2021-01-15,1,0,0,0,0,0,0,2021,844167,6896429.0,0.12240639322176738,Oxford/AstraZeneca,11.51,7.71,11.51,8.45,8.69,4.41,88.49,92.29,88.49,91.55,91.31,95.59,5456681,5447622,5643453
168,Slovakia,Pfizer/BioNTech,2020-12-25,1,0,0,0,0,0,0,2020,5145368,6896429.0,0.7460916367006751,Pfizer/BioNTech,70.88,64.16,70.88,62.67,53.72,32.83,29.12,35.84,29.12,37.33,46.28,67.17,5456681,5447622,5643453
169,Slovakia,Sputnik V,2021-01-22,2,1,1,1,1,1,0,2021,37984,6896429.0,0.005507778010909704,Sputnik V,0.51,0.47,0.49,0.47,0.37,0.24,99.49,99.53,99.51,99.53,99.63,99.76,5456681,5447622,5643453
170,Slovenia,Johnson&Johnson,2021-04-30,72,61,51,54,46,41,23,2021,135924,2984841.0,0.04553810403971267,Johnson&Johnson,3.92,3.28,3.46,2.91,2.6,1.5,96.08,96.72,96.54,97.09,97.4,98.5,2117641,2119410,2119844
171,Slovenia,Moderna,2021-01-22,473,458,435,458,430,345,227,2021,237424,2984841.0,0.07954326545367073,Moderna,7.72,7.32,7.72,7.24,5.81,3.82,92.28,92.68,92.28,92.76,94.19,96.18,2117641,2119410,2119844
172,Slovenia,Novavax,2022-03-04,2,1,1,1,1,1,0,2022,200,2984841.0,6.70052441654346e-05,Novavax,0.01,0.01,0.01,0.01,0.0,0.0,99.99,99.99,99.99,99.99,100.0,100.0,2117641,2119410,2119844
173,Slovenia,Oxford/AstraZeneca,2021-02-12,2148,2019,1353,2019,1482,1525,773,2021,323527,2984841.0,0.1083900281455528,Oxford/AstraZeneca,10.19,6.83,10.19,7.48,7.7,3.9,89.81,93.17,89.81,92.52,92.3,96.1,2117641,2119410,2119844
174,Slovenia,Pfizer/BioNTech,2021-01-01,4472,4248,3845,4248,3756,3219,1967,2021,2287766,2984841.0,0.7664615971168983,Pfizer/BioNTech,72.81,65.92,72.81,64.38,55.19,33.72,27.19,34.08,27.19,35.62,44.81,66.28,2117641,2119410,2119844
175,South Africa,Johnson&Johnson,2022-03-04,7833589,6736886,5640184,5953527,5013496,4465145,2585084,2022,9263824,37724286.0,0.24556658275785526,Johnson&Johnson,21.12,17.68,18.66,15.72,14.0,8.1,78.88,82.32,81.34,84.28,86.0,91.9,58801927,59392255,59893885
176,South Africa,Pfizer/BioNTech,2022-03-04,24156328,22948511,20774442,22948511,20291315,17392556,10628784,2022,28460462,37724286.0,0.7544334172421447,Pfizer/BioNTech,71.67,64.88,71.67,63.37,54.32,33.2,28.33,35.12,28.33,36.63,45.68,66.8,58801927,59392255,59893885
177,South Korea,Johnson&Johnson,2021-02-26,46,39,33,34,29,26,15,2021,1544565,129232449.0,0.01195183571890679,Johnson&Johnson,1.03,0.86,0.91,0.76,0.68,0.39,98.97,99.14,99.09,99.24,99.32,99.61,51844690,51830139,51815810
178,South Korea,Moderna,2021-02-26,12137,11772,11166,11772,11044,8860,5825,2021,25252567,129232449.0,0.19540422854634598,Moderna,18.95,17.98,18.95,17.78,14.26,9.38,81.05,82.02,81.05,82.22,85.74,90.62,51844690,51830139,51815810
179,South Korea,Novavax,2021-02-26,0,0,0,0,0,0,0,2021,840921,129232449.0,0.006507042205785329,Novavax,0.58,0.54,0.56,0.53,0.42,0.28,99.42,99.46,99.44,99.47,99.58,99.72,51844690,51830139,51815810
180,South Korea,Oxford/AstraZeneca,2021-02-26,20666,19426,13019,19426,14259,14672,7439,2021,20325103,129232449.0,0.15727553843694472,Oxford/AstraZeneca,14.78,9.91,14.78,10.85,11.17,5.66,85.22,90.09,85.22,89.15,88.83,94.34,51844690,51830139,51815810
181,South Korea,Pfizer/BioNTech,2021-02-26,8747,8309,7522,8309,7347,6297,3848,2021,81268318,129232449.0,0.6288538105472257,Pfizer/BioNTech,59.74,54.08,59.74,52.82,45.28,27.67,40.26,45.92,40.26,47.18,54.72,72.33,51844690,51830139,51815810
182,South Korea,SKYCovione,2021-02-26,0,0,0,0,0,0,0,2021,975,129232449.0,7.544544791532968e-06,SKYCovione,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,51844690,51830139,51815810
183,Spain,Johnson&Johnson,2021-01-08,0,0,0,0,0,0,0,2021,1981073,103045916.0,0.019225148136875217,Johnson&Johnson,1.65,1.38,1.46,1.23,1.1,0.63,98.35,98.62,98.54,98.77,98.9,99.37,47363807,47486935,47558630
184,Spain,Moderna,2021-01-08,0,0,0,0,0,0,0,2021,24111869,103045916.0,0.2339915053013843,Moderna,22.7,21.53,22.7,21.29,17.08,11.23,77.3,78.47,77.3,78.71,82.92,88.77,47363807,47486935,47558630
185,Spain,Oxford/AstraZeneca,2021-01-08,0,0,0,0,0,0,0,2021,9794598,103045916.0,0.09505081210593538,Oxford/AstraZeneca,8.93,5.99,8.93,6.56,6.75,3.42,91.07,94.01,91.07,93.44,93.25,96.58,47363807,47486935,47558630
186,Spain,Pfizer/BioNTech,2021-01-08,419994,398994,361194,398994,352794,302395,184797,2021,67158376,103045916.0,0.6517325344558051,Pfizer/BioNTech,61.91,56.05,61.91,54.75,46.92,28.68,38.09,43.95,38.09,45.25,53.08,71.32,47363807,47486935,47558630
187,Sweden,Moderna,2021-01-01,0,0,0,0,0,0,0,2021,4152280,21986863.0,0.18885277085685212,Moderna,18.32,17.37,18.32,17.19,13.79,9.06,81.68,82.63,81.68,82.81,86.21,90.94,10368969,10467097,10549347
188,Sweden,Novavax,2021-01-01,0,0,0,0,0,0,0,2021,6913,21986863.0,0.0003144150213698061,Novavax,0.03,0.03,0.03,0.03,0.02,0.01,99.97,99.97,99.97,99.97,99.98,99.99,10368969,10467097,10549347
189,Sweden,Oxford/AstraZeneca,2021-01-01,0,0,0,0,0,0,0,2021,1322062,21986863.0,0.0601296328630419,Oxford/AstraZeneca,5.65,3.79,5.65,4.15,4.27,2.16,94.35,96.21,94.35,95.85,95.73,97.84,10368969,10467097,10549347
190,Sweden,Pfizer/BioNTech,2021-01-01,1622,1540,1394,1540,1362,1167,713,2021,16505608,21986863.0,0.7507031812587361,Pfizer/BioNTech,71.32,64.56,71.32,63.06,54.05,33.03,28.68,35.44,28.68,36.94,45.95,66.97,10368969,10467097,10549347
191,Switzerland,Johnson&Johnson,2020-12-21,1,0,0,0,0,0,0,2020,62859,16004728.0,0.003927526915796382,Johnson&Johnson,0.34,0.28,0.3,0.25,0.22,0.13,99.66,99.72,99.7,99.75,99.78,99.87,8638613,8691406,8740472
192,Switzerland,Moderna,2020-12-23,1,0,0,0,0,0,0,2020,9939440,16004728.0,0.6210314851961245,Moderna,60.24,57.13,60.24,56.51,45.34,29.81,39.76,42.87,39.76,43.49,54.66,70.19,8638613,8691406,8740472
193,Switzerland,Novavax,2022-07-20,9,8,7,7,7,5,3,2022,630,16004728.0,3.9363368124719146e-05,Novavax,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,8638613,8691406,8740472
194,Switzerland,Pfizer/BioNTech,2020-12-22,2,1,1,1,1,1,0,2020,6001799,16004728.0,0.37500162451995434,Pfizer/BioNTech,35.63,32.25,35.63,31.5,27.0,16.5,64.37,67.75,64.37,68.5,73.0,83.5,8638613,8691406,8740472
195,Ukraine,Johnson&Johnson,2021-05-22,219,188,157,166,140,124,72,2021,20680,31683310.0,0.0006527095811643417,Johnson&Johnson,0.06,0.05,0.05,0.04,0.04,0.02,99.94,99.95,99.95,99.96,99.96,99.98,43909666,43531422,39701739
196,Ukraine,Moderna,2021-07-20,1620,1571,1490,1571,1474,1182,777,2021,3044899,31683310.0,0.09610419492155334,Moderna,9.32,8.84,9.32,8.75,7.02,4.61,90.68,91.16,90.68,91.25,92.98,95.39,43909666,43531422,39701739
197,Ukraine,Oxford/AstraZeneca,2021-02-24,159,149,100,149,109,112,57,2021,4041487,31683310.0,0.12755886301020947,Oxford/AstraZeneca,11.99,8.04,11.99,8.8,9.06,4.59,88.01,91.96,88.01,91.2,90.94,95.41,43909666,43531422,39701739
198,Ukraine,Pfizer/BioNTech,2021-04-18,366,347,314,347,307,263,161,2021,14774013,31683310.0,0.46630270006511315,Pfizer/BioNTech,44.3,40.1,44.3,39.17,33.57,20.52,55.7,59.9,55.7,60.83,66.43,79.48,43909666,43531422,39701739
